Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,arme à feu,8,Le Quotidien - Groupe Capitales Médias,Projet de loi C-21: les adeptes de paintball et de airsoft inquiets,2021-02-24,129,https://www.lequotidien.com/actualites/projet-de-loi-c-21-les-adeptes-de-paintball-et-de-airsoft-inquiets-056c98a19a7f3abae9011faf133a7e69,2021-07-03 09:18:23
Alma ,arme à feu,9,La Presse,"Incendie | Le palais de justice de Roberval sera reconstruit, annonce le gouvernement",2021-05-09,55,https://www.lapresse.ca/actualites/2021-05-09/incendie/le-palais-de-justice-de-roberval-sera-reconstruit-annonce-le-gouvernement.php,2021-07-03 09:18:23
Alma ,arme à feu,10,Le Quotidien - Groupe Capitales Médias,Trou de balle dans une piscine: des armes saisies chez un policier de la SQ,2020-08-05,332,https://www.lequotidien.com/actualites/justice-et-faits-divers/trou-de-balle-dans-une-piscine-des-armes-saisies-chez-un-policier-de-la-sq-2b93b9a4b9f437fc29f0036abc7d3991,2021-07-03 09:18:23
Alma ,arme à feu,11,Le Quotidien - Groupe Capitales Médias,Une levée du couvre-feu qui tombe à point selon le docteur Aubin,2021-05-28,36,https://www.lequotidien.com/actualites/une-levee-du-couvre-feu-qui-tombe-a-point-selon-le-docteur-aubin-118ed6e2037d5b61374768ad7ebe3fc5,2021-07-03 09:18:24
Alma ,arme à feu,12,TVA Nouvelles,Le vol d'armes chez Pronature d'Alma pourrait avoir été élucidé,,,https://www.tvanouvelles.ca/2019/01/23/le-vol-darmes-chez-pronature-dalma-pourrait-avoir-ete-elucide,2021-07-03 09:18:24
Alma ,arme à feu,13,La Voix du Sud,Arrestation pour possession d'explosifs et d'armes prohibées à Lac-Etchemin,2021-04-12,82,https://www.lavoixdusud.com/2021/04/12/arrestation-pour-possession-dexplosifs-et-darmes-prohibees-a-lac-etchemin/,2021-07-03 09:18:24
Alma ,arme à feu,14,Le Quotidien - Groupe Capitales Médias,Un autre individu accusé de possession illégale d'armes à feu,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-autre-individu-accuse-de-possession-illegale-darmes-a-feu-28f9e8b65659400a1d4f5693485822a4,2021-07-03 09:18:25
Alma ,arme à feu,15,Le Quotidien - Groupe Capitales Médias,Arrestation d'un homme à Place du Royaume: arme retrouvée et nouvelles accusations,2021-05-21,43,https://www.lequotidien.com/actualites/justice-et-faits-divers/arrestation-dun-homme-a-place-du-royaume-arme-retrouvee-et-nouvelles-accusations-c43d0fc4b7a595f8dfe17d20b373bcf4,2021-07-03 09:18:25
Alma ,arme à feu,16,Le Quotidien - Groupe Capitales Médias,Neuf armes à feu saisies à L'Étape | Justice et faits divers | Actualités,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/neuf-armes-a-feu-saisies-a-letape-01c069f2f47c92b319511bb9df199f55,2021-07-03 09:18:25
Alma ,arme à feu,17,Le Quotidien - Groupe Capitales Médias,Couvre-feu: 19 constats émis dans la dernière semaine dans Lac-Saint-Jean-Est,2021-01-19,165,https://www.lequotidien.com/actualites/couvre-feu-19-constats-emis-dans-la-derniere-semaine-dans-lac-saint-jean-est-389077077e2433e15e5e13636e6b49a0,2021-07-03 09:18:25
Alma ,arme à feu,18,Le Quotidien - Groupe Capitales Médias,L'assaillant armé à Rideau Hall écope de six ans de prison,2021-03-10,115,https://www.lequotidien.com/actualites/justice-et-faits-divers/lassaillant-arme-a-rideau-hall-ecope-de-six-ans-de-prison-846731e43f330e1157f5556c288479f8,2021-07-03 09:18:25
Alma ,arme à feu,19,Le Quotidien - Groupe Capitales Médias,Nouveau directeur du Service de prévention des incendies à Alma,2020-10-07,269,https://www.lequotidien.com/actualites/nouveau-directeur-du-service-de-prevention-des-incendies-a-alma-6e2ecfdc1f6beed7401aff10275b5bd9,2021-07-03 09:18:26
