Villes,type mot-clés,hors Québec,local/regional,national,non media,Villes
Repentigny,national,18.0,292.0,879.0,29.0,Repentigny-national
Rimouski,local,4.0,1688.0,552.0,335.0,Rimouski-local
Rimouski,mixte,1.0,911.0,185.0,103.0,Rimouski-mixte
Rimouski,national,12.0,912.0,379.0,66.0,Rimouski-national
Rivière-du-Loup,local,16.0,2108.0,349.0,77.0,Rivière-du-Loup-local
Rivière-du-Loup,mixte,6.0,949.0,211.0,9.0,Rivière-du-Loup-mixte
Rivière-du-Loup,national,32.0,976.0,322.0,18.0,Rivière-du-Loup-national
Rouyn-Noranda,local,18.0,1549.0,480.0,463.0,Rouyn-Noranda-local
Rouyn-Noranda,mixte,4.0,837.0,189.0,156.0,Rouyn-Noranda-mixte
Rouyn-Noranda,national,21.0,740.0,411.0,111.0,Rouyn-Noranda-national
Saguenay,local,4.0,1592.0,811.0,172.0,Saguenay-local
Saguenay,mixte,2.0,735.0,432.0,31.0,Saguenay-mixte
Saguenay,national,10.0,590.0,720.0,20.0,Saguenay-national
Saint-André-Avellin,local,12.0,1567.0,254.0,234.0,Saint-André-Avellin-local
Saint-André-Avellin,mixte,1.0,879.0,69.0,85.0,Saint-André-Avellin-mixte
Saint-André-Avellin,national,21.0,815.0,88.0,13.0,Saint-André-Avellin-national
Saint-Apollinaire,local,613.0,1116.0,508.0,75.0,Saint-Apollinaire-local
Saint-Apollinaire,mixte,126.0,744.0,156.0,76.0,Saint-Apollinaire-mixte
Saint-Apollinaire,national,455.0,411.0,217.0,41.0,Saint-Apollinaire-national
Saint-Eustache,local,92.0,1491.0,704.0,184.0,Saint-Eustache-local
Saint-Eustache,mixte,23.0,752.0,321.0,76.0,Saint-Eustache-mixte
Saint-Eustache,national,117.0,456.0,626.0,29.0,Saint-Eustache-national
Saint-Félicien,local,52.0,1972.0,302.0,218.0,Saint-Félicien-local
Saint-Félicien,mixte,22.0,960.0,159.0,25.0,Saint-Félicien-mixte
Saint-Félicien,national,31.0,986.0,208.0,2.0,Saint-Félicien-national
Saint-Georges,local,551.0,1625.0,260.0,151.0,Saint-Georges-local
Saint-Georges,mixte,112.0,878.0,162.0,30.0,Saint-Georges-mixte
Saint-Georges,national,310.0,472.0,493.0,12.0,Saint-Georges-national
Saint-Henri,local,316.0,1216.0,803.0,206.0,Saint-Henri-local
Saint-Henri,mixte,137.0,488.0,492.0,62.0,Saint-Henri-mixte
Saint-Henri,national,232.0,447.0,585.0,25.0,Saint-Henri-national
Saint-Honoré,local,382.0,1702.0,235.0,231.0,Saint-Honoré-local
Saint-Honoré,mixte,152.0,775.0,158.0,88.0,Saint-Honoré-mixte
Saint-Honoré,national,305.0,561.0,311.0,41.0,Saint-Honoré-national
Saint-Hyacinthe,local,75.0,667.0,1149.0,630.0,Saint-Hyacinthe-local
Saint-Hyacinthe,mixte,6.0,325.0,512.0,357.0,Saint-Hyacinthe-mixte
Saint-Hyacinthe,national,19.0,293.0,900.0,58.0,Saint-Hyacinthe-national
Saint-Jean-sur-Richelieu,local,8.0,1479.0,554.0,541.0,Saint-Jean-sur-Richelieu-local
Saint-Jean-sur-Richelieu,mixte,2.0,618.0,344.0,236.0,Saint-Jean-sur-Richelieu-mixte
Saint-Jean-sur-Richelieu,national,11.0,622.0,592.0,117.0,Saint-Jean-sur-Richelieu-national
Saint-Jérôme,local,213.0,1227.0,877.0,235.0,Saint-Jérôme-local
Saint-Jérôme,mixte,41.0,550.0,528.0,81.0,Saint-Jérôme-mixte
Saint-Jérôme,national,92.0,527.0,669.0,25.0,Saint-Jérôme-national
Saint-Lin-Laurentides,local,1.0,1694.0,583.0,91.0,Saint-Lin-Laurentides-local
Saint-Lin-Laurentides,mixte,0.0,893.0,201.0,40.0,Saint-Lin-Laurentides-mixte
Saint-Lin-Laurentides,national,29.0,449.0,488.0,10.0,Saint-Lin-Laurentides-national
Saint-Pierre-de-l'Île-d'Orléans,local,6.0,356.0,844.0,28.0,Saint-Pierre-de-l'Île-d'Orléans-local
Saint-Pierre-de-l'Île-d'Orléans,mixte,6.0,260.0,348.0,22.0,Saint-Pierre-de-l'Île-d'Orléans-mixte
Saint-Pierre-de-l'Île-d'Orléans,national,20.0,106.0,164.0,12.0,Saint-Pierre-de-l'Île-d'Orléans-national
Saint-Raymond,local,182.0,1089.0,673.0,232.0,Saint-Raymond-local
Saint-Raymond,mixte,71.0,599.0,409.0,99.0,Saint-Raymond-mixte
Saint-Raymond,national,116.0,624.0,439.0,10.0,Saint-Raymond-national
Saint-Rémi,local,711.0,974.0,305.0,212.0,Saint-Rémi-local
Saint-Rémi,mixte,317.0,585.0,201.0,50.0,Saint-Rémi-mixte
Saint-Rémi,national,340.0,394.0,402.0,26.0,Saint-Rémi-national
Saint-Tite,local,66.0,1471.0,467.0,151.0,Saint-Tite-local
Saint-Tite,mixte,43.0,798.0,282.0,63.0,Saint-Tite-mixte
Saint-Tite,national,42.0,899.0,196.0,8.0,Saint-Tite-national
Sainte-Adèle,local,86.0,1267.0,777.0,51.0,Sainte-Adèle-local
Sainte-Adèle,mixte,12.0,645.0,457.0,27.0,Sainte-Adèle-mixte
Sainte-Adèle,national,36.0,368.0,672.0,1.0,Sainte-Adèle-national
Sainte-Agathe-des-Monts,local,47.0,813.0,1093.0,67.0,Sainte-Agathe-des-Monts-local
Sainte-Agathe-des-Monts,mixte,64.0,424.0,574.0,36.0,Sainte-Agathe-des-Monts-mixte
Sainte-Agathe-des-Monts,national,164.0,247.0,677.0,21.0,Sainte-Agathe-des-Monts-national
Sainte-Anne-des-Monts,local,62.0,1669.0,434.0,70.0,Sainte-Anne-des-Monts-local
Sainte-Anne-des-Monts,mixte,10.0,944.0,172.0,5.0,Sainte-Anne-des-Monts-mixte
Sainte-Anne-des-Monts,national,28.0,916.0,339.0,5.0,Sainte-Anne-des-Monts-national
Sainte-Julie,local,89.0,1383.0,524.0,215.0,Sainte-Julie-local
Sainte-Julie,mixte,35.0,750.0,297.0,81.0,Sainte-Julie-mixte
Sainte-Julie,national,93.0,498.0,566.0,35.0,Sainte-Julie-national
Sainte-Marie,local,627.0,1279.0,457.0,199.0,Sainte-Marie-local
Sainte-Marie,mixte,155.0,654.0,308.0,68.0,Sainte-Marie-mixte
Sainte-Marie,national,281.0,479.0,545.0,42.0,Sainte-Marie-national
Salaberry-de-Valleyfield,local,2.0,1469.0,761.0,197.0,Salaberry-de-Valleyfield-local
Salaberry-de-Valleyfield,mixte,0.0,798.0,342.0,5.0,Salaberry-de-Valleyfield-mixte
Salaberry-de-Valleyfield,national,3.0,445.0,722.0,11.0,Salaberry-de-Valleyfield-national
Sept-Îles,local,114.0,1450.0,758.0,186.0,Sept-Îles-local
Sept-Îles,mixte,38.0,745.0,401.0,16.0,Sept-Îles-mixte
Sept-Îles,national,168.0,635.0,559.0,20.0,Sept-Îles-national
Shawinigan,local,5.0,1891.0,329.0,257.0,Shawinigan-local
Shawinigan,mixte,5.0,888.0,204.0,84.0,Shawinigan-mixte
Shawinigan,national,6.0,1010.0,279.0,46.0,Shawinigan-national
Sherbrooke,local,1.0,1925.0,532.0,76.0,Sherbrooke-local
Sherbrooke,mixte,4.0,838.0,322.0,36.0,Sherbrooke-mixte
Sherbrooke,national,6.0,708.0,647.0,17.0,Sherbrooke-national
Sorel-Tracy,local,2.0,1762.0,558.0,182.0,Sorel-Tracy-local
Sorel-Tracy,mixte,2.0,915.0,206.0,52.0,Sorel-Tracy-mixte
Sorel-Tracy,national,9.0,631.0,543.0,30.0,Sorel-Tracy-national
Stoneham,local,42.0,1184.0,928.0,54.0,Stoneham-local
Stoneham,mixte,9.0,640.0,412.0,26.0,Stoneham-mixte
Stoneham,national,4.0,665.0,443.0,24.0,Stoneham-national
Terrebonne,local,1.0,1011.0,1307.0,163.0,Terrebonne-local
Terrebonne,mixte,1.0,487.0,571.0,46.0,Terrebonne-mixte
Terrebonne,national,4.0,344.0,810.0,26.0,Terrebonne-national
Thetford Mines,local,4.0,1934.0,349.0,150.0,Thetford Mines-local
Thetford Mines,mixte,1.0,930.0,187.0,52.0,Thetford Mines-mixte
