Type_media,hors Québec,hors Québec,hors Québec,local/regional,local/regional,local/regional,national,national,national,non media,non media,non media
type mot-clés,local,mixte,national,local,mixte,national,local,mixte,national,local,mixte,national
domaine,,,,,,,,,,,,
directinfosgabon.com,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
directioninformatique.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,125.0909090909091,0.0,0.0,0.0
distances.plus,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,4.0,0.0,0.0,0.0
droit-inc.com,0.0,0.0,0.0,0.0,0.0,0.0,67.5,107.09375,126.36954206602769,0.0,0.0,0.0
ec.europa.eu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecoaustral.com,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecolebranchee.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34375,1.0,8.0
ecomatin.net,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecommunemagazine.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.642857142857142
economiesetcie.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
edito.seloger.com,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emplois.isarta.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.666666666666666,6.5
enbeauce.com,0.0,0.0,0.0,87.64446775039329,68.04280510018215,107.50174216027875,0.0,0.0,0.0,0.0,0.0,0.0
endurance-info.com,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energies-media.com,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epinalinfos.fr,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
estrieplus.com,0.0,0.0,0.0,85.67091836734694,57.19711538461539,81.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0
etudiant.aujourdhui.fr,110.71428571428571,86.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etudiant.lefigaro.fr,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewanews.com,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
factuel.afp.com,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finance-investissement.com,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,83.83333333333333,0.0,0.0,0.0
fm1033.ca,0.0,0.0,0.0,89.13479623824452,88.89010989010988,76.0,0.0,0.0,0.0,0.0,0.0,0.0
food.konbini.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
footrdc.com,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forex.quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fougeres.maville.com,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.africanews.com,3.0,0.5,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.aleteia.org,8.428571428571429,4.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.blastingnews.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
fr.euronews.com,14.8,2.25,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.fashionnetwork.com,0.0,12.0,46.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.finance.yahoo.com,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.hespress.com,0.0,0.0,104.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.infosgabon.com,102.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.investing.com,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.le360.ma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.metrotime.be,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.motorsport.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.news.yahoo.com,6.75,23.625,12.441176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.rbth.com,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.saharamedias.net,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.sports.yahoo.com,4.6,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.sputniknews.com,39.25,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.style.yahoo.com,41.166666666666664,1.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.timesofisrael.com,2.5,6.2,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.uefa.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fr.unesco.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
fr.vietnamplus.vn,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.yahoo.com,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr.yna.co.kr,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
francais.radio.cz,6.333333333333333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
francais.rt.com,4.25,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
france3-regions.francetvinfo.fr,47.03988603988604,31.03614457831325,65.88311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
francenewslive.com,2.5,2.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
french.china.org.cn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6666666666666665
french.xinhuanet.com,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frenchmorning.com,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fsspx.news,106.375,0.0,141.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gabonactu.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamergen.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gaspesienouvelles.com,0.0,0.0,0.0,47.98863636363637,44.71052631578947,80.42045454545455,0.0,0.0,0.0,0.0,0.0,0.0
gazette-ariegeoise.fr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gazettedesfemmes.ca,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,25.0,0.0,0.0,0.0
geeko.lesoir.be,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generations.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
generationvoyage.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1.0,0.0
geopleinair.com,0.0,0.0,0.0,0.0,0.0,0.0,230.28571428571428,16.0,86.23076923076923,0.0,0.0,0.0
golfedesainttropez.maville.com,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gomet.net,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gouvernement.lu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,8.333333333333334
granbyexpress.com,0.0,0.0,0.0,91.91676040494939,80.28305785123968,131.0,0.0,0.0,0.0,0.0,0.0,0.0
grenier.qc.ca,0.0,0.0,0.0,0.0,0.0,0.0,103.48347107438016,49.925925925925924,55.94444444444444,0.0,0.0,0.0
guideautoweb.com,0.0,0.0,0.0,0.0,0.0,0.0,204.88888888888889,1.0,179.0,0.0,0.0,0.0
guinee114.com,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guineefoot.info,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guineematin.com,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guineenews.org,3.6666666666666665,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haitiprogres.com,0.0,0.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hebdo.ahram.org.eg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hebdorivenord.com,0.0,0.0,0.0,94.92713178294574,89.3404761904762,85.43529411764706,0.0,0.0,0.0,0.0,0.0,0.0
highlevelcom.be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
hiphopcorner.fr,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hitek.fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
hollywoodpq.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.35714285714286,238.63636363636363,152.85714285714286
hospitality-on.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
hpnhaiti.com,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrimag.com,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,125.33333333333333,0.0,0.0,0.0
ici.radio-canada.ca,142.6949924127466,112.5631443298969,219.83631484794276,226.6297876121923,164.87088792667154,289.37399024816244,366.658075130244,224.7346267675107,316.89157973174366,0.0,0.0,0.0
ideas4development.org,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideat.thegoodhub.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
immobilier.lefigaro.fr,0.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impactcampus.ca,0.0,0.0,0.0,18.77777777777778,19.25,37.125,0.0,0.0,0.0,0.0,0.0,0.0
info-centrafrique.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
infodimanche.com,0.0,0.0,0.0,103.15674720094285,84.53414634146341,91.6062124248497,0.0,0.0,0.0,0.0,0.0,0.0
infodujour.fr,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
information.tv5monde.com,10.2,10.8,42.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
informeaffaires.com,0.0,0.0,0.0,145.70967741935485,89.70754716981132,96.8,0.0,0.0,0.0,0.0,0.0,0.0
infosuroit.com,0.0,0.0,0.0,131.69598180439726,138.4327485380117,127.4059405940594,0.0,0.0,0.0,0.0,0.0,0.0
initiedelabourse.levif.be,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inside.news,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
