Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Alma ,Premier ministre,3,ICI.Radio-Canada.ca,Levée de boucliers régionale contre l'Association de l'aluminium du Canada,2021-05-07,25,https://ici.radio-canada.ca/nouvelle/1791009/rio-tinto-reactions-emplois
Alma ,Premier ministre,4,Guy Bouchard,"Femmessor | 52,5 M$ pour soutenir l'entrepreneuriat inclusif et d'impact",2021-06-01,0,https://informeaffaires.com/national-et-international/actualites-nationales/femmessor-525-m-pour-soutenir-lentrepreneuriat
Alma ,Chine,1,Droit-Inc.com,Feu au palais de justice de Roberval : questions-réponses avec la bâtonnière…,2021-05-10,22,https://www.droit-inc.com/article28664-Feu-au-palais-de-justice-de-Roberval-questions-reponses-avec-la-batonniere
Alma ,Chine,2,Le Quotidien - Groupe Capitales Médias,"Les «deux Michael» emprisonnés en Chine depuis deux ans, jour pour jour [VIDÉO]",2020-12-10,173,https://www.lequotidien.com/actualites/les-deux-michael-emprisonnes-en-chine-depuis-deux-ans-jour-pour-jour-video-d8199310d58df4098d86472a9323e628
Alma ,Chine,3,iHeartRadio,Un élu d'Alma fait une sortie contre le maire Marc Asselin,2020-10-13,231,https://www.iheartradio.ca/energie/energie-saguenay/nouvelles/un-elu-d-alma-fait-une-sortie-contre-le-maire-marc-asselin-1.13707094
Alma ,Chine,4,Guy Bouchard,COVID-19 | Le Charnu se relocalise à… Alma | Journal Informes Affaires,2020-06-09,357,https://informeaffaires.com/regional/commerces-et-services/covid-19-le-charnu-se-relocalise-a-alma
Alma ,Biden OR Trump,1,ICI.Radio-Canada.ca,Élection de Joe Biden : la région réagit favorablement,2020-11-07,206,https://ici.radio-canada.ca/nouvelle/1747901/joe-biden-saguenay-reaction-favoranble
Alma ,Biden OR Trump,2,ICI.Radio-Canada.ca,La région surveille l'issue du scrutin aux États-Unis,2020-11-04,209,https://ici.radio-canada.ca/nouvelle/1746847/reactions-saguenay-lac-saint-jean-election-americaine
Alma ,Biden OR Trump,3,La Presse,"Joe Biden, 46e président | « La démocratie l'a emporté »",2021-01-20,132,https://www.lapresse.ca/international/etats-unis/2021-01-20/joe-biden-46e-president/la-democratie-l-a-emporte.php
Alma ,Biden OR Trump,4,La Presse,COVID-19 | Trump déclaré négatif par son médecin,2020-10-12,232,https://www.lapresse.ca/international/etats-unis/2020-10-12/covid-19/trump-declare-negatif-par-son-medecin.php
Alma ,déficit,1,ICI.Radio-Canada.ca,Des services suspendus ou reportés à l'hôpital d'Alma | Coronavirus,2020-10-15,229,https://ici.radio-canada.ca/nouvelle/1741501/hopital-alma-services-reorganisation
Alma ,déficit,2,Journal Le Lac St-Jean,Club Rotary d'Alma : Une levée de fonds virtuelle cette année,2020-12-23,160,https://lelacstjean.com/actualite/club-rotary-dalma-une-levee-de-fonds-virtuelle-cette-annee/
Alma ,déficit,3,ICI.Radio-Canada.ca,L'hôpital d'Alma illuminé tel un phare dans la nuit | Coronavirus,2020-10-02,242,https://ici.radio-canada.ca/nouvelle/1738130/hopital-alma-vert-espoir-covid
Alma ,déficit,4,Radio-Canada.ca,Le plus fort déficit démographique à Montréal depuis 20 ans,2021-01-14,138,https://ici.radio-canada.ca/nouvelle/1763174/isq-deficit-population-montreal-regions-croissance-covid
